Temperatur,Luftfeuchtigkeit,CO2,Wassergehalt,Minute,Stunde,Wochentag_Monday,Wochentag_Saturday,Wochentag_Sunday,Wochentag_Tuesday,Wochentag_Wednesday,Wochentag_Friday,Wochentag_Thursday,Vorhersage
-0.8337878754422361,0.5869659249653857,-0.9759890829127917,0.23674650115135673,1,0,0,1,0,0,0,0,0,0.0
-0.8557616131344017,0.6106826667687549,-0.9810023548703005,0.2508226158619594,2,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6000343337141762,-0.9805010276745487,0.21911282915805932,3,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6160068332960308,-0.9835089908490533,0.23554071280278271,4,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6106826667687549,-0.9830076636533015,0.2300647048819899,4,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6160068332960308,-0.9744851013255394,0.23554071280278271,6,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6319793328778852,-0.9699731565637826,0.2519690168076312,7,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6000343337141762,-0.9639572302147733,0.21911282915805932,8,0,0,1,0,0,0,0,0,0.0
-0.8557616131344017,0.6106826667687549,-0.9769917373042922,0.2508226158619594,8,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6000343337141762,-0.9699731565637826,0.21911282915805932,10,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6319793328778852,-0.9699731565637826,0.2519690168076312,10,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6319793328778852,-0.9789970460872964,0.2519690168076312,11,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6319793328778852,-0.9895249171980626,0.2519690168076312,13,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6581161503754643,-1.0000527883088288,0.27885260285719227,14,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6581161503754643,-0.9925328803725672,0.27885260285719227,15,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6581161503754643,-0.982005009261801,0.27885260285719227,16,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6581161503754643,-0.9835089908490533,0.27885260285719227,16,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.6581161503754643,-0.9925328803725672,0.27885260285719227,17,0,0,1,0,0,0,0,0,0.0
-0.8997090885185972,0.7045816037044967,-0.986516954023558,0.3266484242888884,19,0,0,1,0,0,0,0,0,0.0
